pattern,performance,repeatability
"[1.8869783878326416, 2.9761254489421844, 4.069866970181465, 4.884326532483101, 5.049441143870354, 5.673984184861183, 5.57465223968029, 6.134125351905823, 6.451389759778976, 8.117390841245651, 8.905851185321808, 9.279298931360245, 9.302187085151672, 9.521763950586319, 9.763317048549652]",3.8760919868946075,15
"[1.535277681691306, 2.877249683652605, 3.1449158106531416, 3.0450934938022067, 4.442878467696054, 4.44160406930106, 5.01913981778281, 5.262725932257516, 5.655173165457589, 5.730580227715628, 5.751726474080767, 6.058762839862278, 6.306349039077759, 6.4695257799966, 6.262012992586408]",9.499217442103795,13
"[4.152748902638753, 6.01244314511617, 7.692874312400818, 6.6163937250773115, 7.6780333916346235, 8.068170030911764, 7.417315284411113, 8.022539575894674, 8.061310887336731, 9.226535479227701, 9.67547873655955, 11.359457810719809, 13.144762516021729, 13.914286454518637, 13.217506607373556]",16.409313678741455,11
"[2.7310949122464216, 4.615606202019586, 5.244883369516443, 5.626514187565556, 6.092164940304226, 7.007332219017877, 7.030084698288529, 7.147435824076335, 7.5638895741215455, 7.719854531464754, 7.661146958669026, 7.525809552934435, 7.693029509650336, 7.987858719295925, 7.710144908339889]",3.238513469696045,26
"[2.934718355536461, 3.585627645254135, 4.813685894012451, 3.9342473447322845, 4.138365566730499, 6.451404094696045, 7.826866567134857, 8.020243644714355, 9.415355026721954, 10.43548184633255, 10.540308117866516, 10.349613785743713, 10.560448348522186, 10.697982430458069, 11.709224820137024]",-5.887995958328247,7
"[2.903395175933838, 4.945288896560669, 6.046484344145831, 6.3368853260489075, 7.666415691375732, 8.477700878592099, 8.022821426391602, 8.811538556042839, 9.910194256726433, 10.052238492404713, 9.218086467069739, 10.284617199617273, 10.22552459380206, 10.139691941878375, 11.220767750459558]",9.0346939423505,16
"[2.2613263863783617, 2.981568923363319, 4.890291599126963, 5.207179858134343, 6.31053429383498, 7.275858952448918, 7.704671749701867, 9.118616250845102, 9.586071858039269, 10.260248037484976, 11.009563079247108, 11.544592123765211, 12.335114038907564, 12.713757294874926, 13.072092423072228]",-6.734291223379282,12
"[0.9287706464529037, 3.135418951511383, 3.7182821333408356, 3.658570423722267, 4.513545483350754, 5.28644460439682, 6.0313496589660645, 6.091139256954193, 7.348198175430298, 8.291472136974335, 8.754068851470947, 9.708049476146698, 9.984470546245575, 9.478167474269867, 9.627163708209991]",11.876936852931976,7
"[1.878257766366005, 2.714973360300064, 2.694085329771042, 3.454289436340332, 3.867197424173355, 4.674761980772018, 4.888415098190308, 5.437459826469421, 5.462013304233551, 6.161284804344177, 6.868689775466919, 6.954253256320953, 6.358598351478577, 5.1112158596515656, 5.560625106096268]",-25.274802446365356,7
"[3.8015072345733643, 4.839676916599274, 5.9800558388233185, 7.609753727912903, 9.3895902633667, 11.192720413208008, 10.825683951377869, 11.341124534606934, 11.867292404174805, 12.41005027294159, 10.372288346290588, 11.023648619651794, 10.697884559631348, 11.1365385055542, 11.121159672737122]",-9.864257276058197,7
